DOY,time,temperature,humidity,pressure,windspeed,cloudCoverTotal,attenuation
6.0,9.0,8.3,96.0,1014.0,3.1,360.0,0.161111111111
6.0,10.0,8.3,100.0,1014.0,4.6,559.0,0.16457960644
6.0,11.0,8.9,100.0,1014.0,6.2,699.0,0.244635193133
6.0,12.0,10.6,96.0,1013.0,5.2,772.0,0.426165803109
6.0,13.0,10.6,96.0,1012.0,7.7,772.0,0.132124352332
6.0,14.0,10.6,96.0,1013.0,5.7,698.0,0.372492836676
6.0,15.0,11.1,96.0,1013.0,7.7,557.0,0.197486535009
6.0,16.0,11.1,90.0,1013.0,3.1,358.0,0.142458100559
6.0,17.0,11.1,93.0,1013.0,6.7,117.0,0.119658119658
7.0,8.0,11.1,96.0,1014.0,4.1,120.0,0.266666666667
7.0,9.0,11.1,100.0,1015.0,2.6,361.0,0.326869806094
7.0,10.0,11.1,100.0,1015.0,4.6,560.0,0.3125
7.0,11.0,11.7,93.0,1014.0,3.6,701.0,0.332382310984
7.0,12.0,11.1,96.0,1012.0,3.6,774.0,0.21834625323
7.0,13.0,11.1,90.0,1012.0,4.6,775.0,0.21935483871
7.0,14.0,10.0,96.0,1011.0,3.1,702.0,0.319088319088
7.0,15.0,10.0,93.0,1011.0,4.6,561.0,0.338680926916
7.0,16.0,11.1,83.0,1010.0,3.1,362.0,0.279005524862
7.0,17.0,11.1,83.0,1010.0,2.1,121.0,0.140495867769
8.0,8.0,6.7,100.0,1010.0,2.1,120.0,0.333333333333
8.0,9.0,9.4,93.0,1010.0,1.5,361.0,0.473684210526
8.0,10.0,11.7,83.0,1010.0,1.5,561.0,0.590017825312
8.0,11.0,14.4,51.0,1010.0,1.5,703.0,0.651493598862
8.0,12.0,15.0,58.0,1009.0,3.1,777.0,0.667953667954
8.0,13.0,15.0,54.0,1009.0,2.6,777.0,0.669240669241
8.0,14.0,15.0,60.0,1009.0,3.6,705.0,0.642553191489
8.0,15.0,15.6,58.0,1010.0,4.1,565.0,0.587610619469
8.0,16.0,15.6,58.0,1011.0,4.1,366.0,0.472677595628
8.0,17.0,15.0,56.0,1011.0,2.6,125.0,0.32
9.0,8.0,7.8,68.0,1020.0,2.6,120.0,0.441666666667
9.0,9.0,10.6,57.0,1020.0,3.6,362.0,0.591160220994
9.0,10.0,12.8,55.0,1020.0,2.6,563.0,0.671403197158
9.0,11.0,14.4,55.0,1020.0,1.0,705.0,0.709219858156
9.0,12.0,15.6,58.0,1020.0,1.5,779.0,0.720154043646
9.0,13.0,16.7,56.0,1019.0,2.6,781.0,0.718309859155
9.0,14.0,16.7,56.0,1019.0,3.6,709.0,0.613540197461
9.0,15.0,16.7,63.0,1019.0,4.1,568.0,0.582746478873
9.0,16.0,16.1,65.0,1019.0,4.1,370.0,0.521621621622
9.0,17.0,14.4,70.0,1019.0,3.6,129.0,0.317829457364
10.0,8.0,8.3,61.0,1018.0,2.1,121.0,0.363636363636
10.0,9.0,10.6,54.0,1018.0,1.5,363.0,0.537190082645
10.0,10.0,13.3,47.0,1018.0,0.0,564.0,0.625886524823
10.0,11.0,15.0,56.0,1017.0,4.1,707.0,0.51909476662
10.0,12.0,15.0,70.0,1015.0,5.2,782.0,0.592071611253
10.0,13.0,15.0,70.0,1014.0,4.6,784.0,0.602040816327
10.0,14.0,15.6,65.0,1013.0,5.2,712.0,0.588483146067
10.0,15.0,15.6,62.0,1013.0,5.7,572.0,0.604895104895
10.0,16.0,15.0,65.0,1013.0,3.6,374.0,0.516042780749
10.0,17.0,13.9,67.0,1013.0,5.2,133.0,0.345864661654
11.0,8.0,7.2,77.0,1014.0,4.1,121.0,0.347107438017
11.0,9.0,11.7,57.0,1015.0,3.6,364.0,0.538461538462
11.0,10.0,14.4,48.0,1015.0,3.1,566.0,0.613074204947
11.0,11.0,17.2,37.0,1014.0,2.1,709.0,0.660084626234
11.0,12.0,18.3,36.0,1013.0,1.5,785.0,0.668789808917
11.0,13.0,20.6,32.0,1012.0,2.6,787.0,0.682337992376
11.0,14.0,20.0,35.0,1012.0,4.6,716.0,0.477653631285
11.0,15.0,17.2,60.0,1012.0,4.1,576.0,0.546875
11.0,16.0,16.7,67.0,1011.0,3.1,378.0,0.492063492063
11.0,17.0,15.6,72.0,1011.0,3.1,137.0,0.350364963504
12.0,8.0,8.9,68.0,1013.0,2.6,122.0,0.377049180328
12.0,9.0,11.7,57.0,1013.0,3.1,366.0,0.409836065574
12.0,10.0,12.8,64.0,1014.0,3.6,568.0,0.406690140845
12.0,11.0,15.6,75.0,1013.0,4.6,712.0,0.414325842697
12.0,12.0,16.1,75.0,1012.0,4.1,788.0,0.689086294416
12.0,13.0,17.2,65.0,1011.0,3.1,791.0,0.663716814159
12.0,14.0,17.8,65.0,1011.0,4.1,720.0,0.658333333333
12.0,15.0,16.7,67.0,1011.0,2.1,581.0,0.595524956971
12.0,16.0,16.1,70.0,1011.0,2.1,382.0,0.55497382199
12.0,17.0,15.6,78.0,1012.0,1.5,141.0,0.36170212766
13.0,8.0,8.9,89.0,1015.0,2.1,123.0,0.317073170732
13.0,9.0,11.1,83.0,1015.0,2.6,367.0,0.485013623978
13.0,10.0,13.9,72.0,1016.0,1.0,570.0,0.585964912281
13.0,11.0,15.6,70.0,1015.0,1.5,714.0,0.642857142857
13.0,12.0,15.6,70.0,1014.0,3.1,791.0,0.676359039191
13.0,13.0,16.1,58.0,1013.0,2.1,794.0,0.673803526448
13.0,14.0,16.7,70.0,1013.0,5.2,724.0,0.647790055249
13.0,15.0,16.7,75.0,1013.0,4.1,585.0,0.588034188034
13.0,16.0,16.1,70.0,1013.0,5.2,387.0,0.480620155039
13.0,17.0,15.0,75.0,1013.0,4.6,145.0,0.296551724138
14.0,8.0,10.0,86.0,1015.0,2.6,124.0,0.395161290323
14.0,9.0,11.1,83.0,1016.0,2.1,369.0,0.569105691057
14.0,10.0,13.9,75.0,1017.0,1.5,572.0,0.655594405594
14.0,11.0,16.1,60.0,1017.0,1.5,717.0,0.698744769874
14.0,12.0,18.3,47.0,1015.0,3.1,794.0,0.717884130982
14.0,13.0,20.0,36.0,1014.0,0.0,798.0,0.720551378446
14.0,14.0,20.6,38.0,1014.0,0.0,728.0,0.700549450549
14.0,15.0,19.4,61.0,1014.0,4.1,589.0,0.648556876061
14.0,16.0,17.8,70.0,1014.0,3.6,391.0,0.56010230179
14.0,17.0,16.1,78.0,1014.0,4.1,149.0,0.369127516779
14.0,18.0,13.9,90.0,1014.0,4.1,1.0,1.0
15.0,8.0,9.4,59.0,1017.0,2.1,125.0,0.44
15.0,9.0,12.2,53.0,1018.0,2.6,370.0,0.52972972973
15.0,10.0,15.6,43.0,1018.0,2.1,574.0,0.682926829268
15.0,11.0,17.8,35.0,1018.0,1.5,720.0,0.708333333333
15.0,12.0,19.4,31.0,1017.0,0.0,798.0,0.735588972431
15.0,13.0,21.1,38.0,1016.0,3.6,802.0,0.662094763092
15.0,14.0,20.6,44.0,1016.0,3.1,732.0,0.685792349727
15.0,15.0,19.4,47.0,1015.0,3.6,593.0,0.632377740304
15.0,16.0,18.3,52.0,1015.0,3.1,395.0,0.526582278481
15.0,17.0,17.2,60.0,1015.0,0.0,153.0,0.385620915033
15.0,18.0,13.9,90.0,1015.0,3.1,1.0,3.0
16.0,8.0,8.9,66.0,1017.0,1.5,127.0,0.393700787402
16.0,9.0,12.8,53.0,1018.0,2.6,372.0,0.572580645161
16.0,10.0,16.7,43.0,1018.0,2.1,577.0,0.658578856153
16.0,11.0,19.4,32.0,1018.0,2.1,723.0,0.702627939142
16.0,12.0,21.1,28.0,1017.0,1.5,801.0,0.7265917603
16.0,13.0,23.3,24.0,1016.0,1.5,806.0,0.725806451613
16.0,14.0,22.2,38.0,1016.0,3.6,736.0,0.645380434783
16.0,15.0,20.6,39.0,1016.0,4.6,598.0,0.622073578595
16.0,16.0,19.4,44.0,1016.0,3.6,400.0,0.565
16.0,17.0,17.2,48.0,1017.0,3.6,158.0,0.386075949367
16.0,18.0,15.0,70.0,1017.0,2.6,2.0,1.0
17.0,8.0,12.8,40.0,1023.0,1.5,128.0,0.3125
17.0,9.0,18.3,28.0,1023.0,3.1,374.0,0.478609625668
17.0,10.0,21.1,28.0,1024.0,1.5,579.0,0.588946459413
17.0,11.0,23.9,23.0,1023.0,4.1,726.0,0.646005509642
17.0,12.0,25.0,18.0,1022.0,1.0,805.0,0.672049689441
17.0,13.0,26.1,16.0,1020.0,1.5,810.0,0.674074074074
17.0,14.0,27.2,17.0,1019.0,1.5,741.0,0.649122807018
17.0,15.0,26.7,21.0,1019.0,3.6,602.0,0.589700996678
17.0,16.0,23.9,31.0,1018.0,3.6,405.0,0.479012345679
17.0,17.0,22.2,25.0,1018.0,3.1,162.0,0.259259259259
18.0,8.0,16.1,35.0,1016.0,1.5,130.0,0.369230769231
18.0,9.0,17.8,38.0,1016.0,2.6,377.0,0.480106100796
18.0,10.0,20.0,39.0,1017.0,2.1,582.0,0.407216494845
18.0,11.0,22.8,29.0,1017.0,1.0,729.0,0.307270233196
18.0,12.0,25.0,30.0,1015.0,2.1,808.0,0.259900990099
18.0,13.0,26.1,27.0,1014.0,1.0,814.0,0.289926289926
18.0,14.0,24.4,33.0,1013.0,3.6,745.0,0.285906040268
18.0,15.0,24.4,30.0,1013.0,2.6,607.0,0.313014827018
18.0,16.0,21.7,48.0,1013.0,2.6,409.0,0.256723716381
18.0,17.0,19.4,45.0,1013.0,2.1,167.0,0.233532934132
18.0,18.0,17.2,56.0,1013.0,4.1,3.0,0.666666666667
19.0,8.0,15.0,50.0,1013.0,2.1,132.0,0.280303030303
19.0,9.0,16.1,48.0,1014.0,1.5,379.0,0.303430079156
19.0,10.0,16.7,54.0,1014.0,2.6,585.0,0.312820512821
19.0,11.0,18.3,50.0,1014.0,3.1,733.0,0.357435197817
19.0,12.0,21.1,42.0,1014.0,2.6,812.0,0.503694581281
19.0,13.0,22.2,38.0,1012.0,2.1,818.0,0.322738386308
19.0,14.0,23.3,34.0,1012.0,2.1,750.0,0.488
19.0,15.0,21.7,61.0,1011.0,3.6,612.0,0.423202614379
19.0,16.0,18.9,70.0,1011.0,3.6,414.0,0.427536231884
19.0,17.0,17.2,68.0,1012.0,3.1,171.0,0.374269005848
19.0,18.0,16.7,70.0,1012.0,3.6,4.0,0.25
20.0,8.0,14.4,70.0,1013.0,0.0,133.0,0.218045112782
20.0,9.0,15.6,67.0,1014.0,0.0,381.0,0.183727034121
20.0,10.0,16.1,67.0,1014.0,2.1,588.0,0.284013605442
20.0,11.0,17.2,81.0,1015.0,1.0,736.0,0.225543478261
20.0,12.0,18.3,59.0,1013.0,1.5,816.0,0.376225490196
20.0,13.0,18.9,54.0,1012.0,1.5,822.0,0.265206812652
20.0,14.0,19.4,47.0,1011.0,3.6,754.0,0.32625994695
20.0,15.0,18.3,70.0,1012.0,6.2,616.0,0.267857142857
20.0,16.0,16.7,70.0,1012.0,6.2,419.0,0.250596658711
20.0,17.0,16.1,81.0,1013.0,5.2,176.0,0.136363636364
20.0,18.0,15.6,78.0,1013.0,8.8,4.0,0.5
21.0,8.0,13.9,96.0,1014.0,0.0,136.0,0.242647058824
21.0,9.0,13.9,93.0,1015.0,2.1,384.0,0.3515625
21.0,10.0,15.0,90.0,1015.0,1.5,591.0,0.477157360406
21.0,11.0,15.6,87.0,1015.0,2.1,740.0,0.481081081081
21.0,12.0,16.1,87.0,1014.0,1.5,820.0,0.543902439024
21.0,13.0,17.2,84.0,1013.0,4.1,827.0,0.524788391778
21.0,14.0,17.8,78.0,1013.0,3.6,759.0,0.628458498024
21.0,15.0,17.2,78.0,1013.0,5.2,621.0,0.412238325282
21.0,16.0,16.7,81.0,1013.0,3.6,424.0,0.554245283019
21.0,17.0,15.6,84.0,1013.0,3.1,180.0,0.394444444444
21.0,18.0,14.4,87.0,1013.0,2.6,5.0,0.8
22.0,8.0,12.2,93.0,1016.0,1.0,138.0,0.275362318841
22.0,9.0,13.3,96.0,1017.0,0.0,387.0,0.328165374677
22.0,10.0,15.0,90.0,1018.0,2.1,594.0,0.447811447811
22.0,11.0,16.7,84.0,1018.0,3.6,744.0,0.588709677419
22.0,12.0,17.2,81.0,1017.0,2.1,824.0,0.614077669903
22.0,13.0,17.8,75.0,1016.0,3.1,831.0,0.660649819495
22.0,14.0,17.8,75.0,1016.0,3.1,764.0,0.545811518325
22.0,15.0,17.8,73.0,1016.0,3.1,626.0,0.444089456869
22.0,16.0,17.2,68.0,1016.0,4.1,428.0,0.469626168224
22.0,17.0,16.7,81.0,1016.0,4.1,185.0,0.335135135135
22.0,18.0,15.6,87.0,1017.0,3.1,6.0,0.333333333333
23.0,8.0,10.6,96.0,1019.0,0.0,140.0,0.35
23.0,9.0,12.8,86.0,1019.0,0.0,390.0,0.538461538462
23.0,10.0,15.0,78.0,1020.0,0.0,598.0,0.627090301003
23.0,11.0,16.7,70.0,1019.0,1.0,747.0,0.681392235609
23.0,12.0,17.8,75.0,1018.0,3.6,829.0,0.691194209891
23.0,13.0,17.8,78.0,1018.0,3.6,836.0,0.696172248804
23.0,14.0,17.8,73.0,1017.0,4.1,768.0,0.6796875
23.0,15.0,17.8,75.0,1017.0,4.6,631.0,0.635499207607
23.0,16.0,17.8,78.0,1016.0,4.6,433.0,0.547344110855
23.0,17.0,16.7,84.0,1016.0,3.6,190.0,0.373684210526
23.0,18.0,15.0,90.0,1016.0,3.1,7.0,0.571428571429
24.0,8.0,11.7,77.0,1018.0,0.0,143.0,0.300699300699
24.0,9.0,15.6,60.0,1018.0,2.6,393.0,0.478371501272
24.0,10.0,17.8,52.0,1018.0,2.6,601.0,0.599001663894
24.0,11.0,20.0,45.0,1018.0,2.1,751.0,0.609853528628
24.0,12.0,21.1,39.0,1017.0,1.5,833.0,0.637454981993
24.0,13.0,22.2,35.0,1015.0,2.1,841.0,0.634958382878
24.0,14.0,22.8,33.0,1015.0,1.0,773.0,0.592496765847
24.0,15.0,21.1,46.0,1014.0,4.1,636.0,0.408805031447
24.0,16.0,20.0,55.0,1014.0,2.1,438.0,0.463470319635
24.0,17.0,18.3,50.0,1015.0,3.1,195.0,0.292307692308
24.0,18.0,16.7,50.0,1014.0,2.6,8.0,0.25
25.0,8.0,13.9,49.0,1014.0,2.1,145.0,0.151724137931
25.0,9.0,14.4,51.0,1014.0,3.6,396.0,0.280303030303
25.0,10.0,15.0,50.0,1013.0,4.1,605.0,0.234710743802
25.0,11.0,17.2,45.0,1013.0,2.1,755.0,0.280794701987
25.0,12.0,18.9,39.0,1013.0,0.0,837.0,0.304659498208
25.0,13.0,20.0,39.0,1012.0,2.1,845.0,0.474556213018
25.0,14.0,21.1,35.0,1011.0,0.0,778.0,0.582262210797
25.0,15.0,19.4,42.0,1011.0,5.2,641.0,0.294851794072
25.0,16.0,18.3,47.0,1011.0,4.1,443.0,0.268623024831
25.0,17.0,17.8,50.0,1012.0,3.6,199.0,0.211055276382
25.0,18.0,16.7,58.0,1012.0,3.1,9.0,0.555555555556
26.0,7.0,12.2,77.0,1014.0,0.0,1.0,1.0
26.0,8.0,13.3,72.0,1014.0,3.1,148.0,0.405405405405
26.0,9.0,15.0,65.0,1014.0,3.1,399.0,0.588972431078
26.0,10.0,16.7,63.0,1015.0,1.5,608.0,0.671052631579
26.0,11.0,18.3,59.0,1015.0,0.0,760.0,0.707894736842
26.0,12.0,18.9,54.0,1014.0,3.1,842.0,0.695961995249
26.0,13.0,19.4,57.0,1013.0,4.6,850.0,0.691764705882
26.0,14.0,18.9,61.0,1012.0,4.6,783.0,0.703703703704
26.0,15.0,18.9,59.0,1013.0,4.1,646.0,0.59907120743
26.0,16.0,17.2,75.0,1013.0,5.2,448.0,0.555803571429
26.0,17.0,16.7,78.0,1013.0,5.2,204.0,0.43137254902
26.0,18.0,15.6,84.0,1013.0,4.1,10.0,0.7
27.0,7.0,11.1,80.0,1014.0,2.1,1.0,1.0
27.0,8.0,11.7,77.0,1015.0,0.0,151.0,0.370860927152
27.0,9.0,13.3,75.0,1015.0,2.6,403.0,0.51364764268
27.0,10.0,15.6,67.0,1016.0,2.6,612.0,0.632352941176
27.0,11.0,17.2,63.0,1015.0,2.1,764.0,0.565445026178
27.0,12.0,18.3,56.0,1014.0,2.1,847.0,0.504132231405
27.0,13.0,18.3,54.0,1013.0,1.5,855.0,0.425730994152
27.0,14.0,18.3,68.0,1013.0,3.1,788.0,0.404822335025
27.0,15.0,18.9,68.0,1012.0,4.1,651.0,0.617511520737
27.0,16.0,18.3,68.0,1012.0,5.7,453.0,0.434878587196
27.0,17.0,16.1,81.0,1012.0,4.6,209.0,0.287081339713
27.0,18.0,16.1,87.0,1013.0,5.2,11.0,0.545454545455
28.0,8.0,14.4,96.0,1014.0,2.6,154.0,0.149350649351
28.0,9.0,14.4,93.0,1014.0,0.0,406.0,0.354679802956
28.0,10.0,15.6,90.0,1014.0,2.6,616.0,0.383116883117
28.0,11.0,17.2,73.0,1014.0,2.1,768.0,0.364583333333
28.0,12.0,17.2,84.0,1014.0,1.5,851.0,0.334900117509
28.0,13.0,16.1,90.0,1013.0,5.2,860.0,0.167441860465
28.0,14.0,16.1,87.0,1013.0,5.2,794.0,0.25314861461
28.0,15.0,15.6,90.0,1012.0,5.2,657.0,0.37899543379
28.0,16.0,15.6,93.0,1012.0,5.7,458.0,0.150655021834
28.0,17.0,15.0,93.0,1012.0,4.1,214.0,0.14953271028
28.0,18.0,15.0,93.0,1012.0,4.1,13.0,0.307692307692
29.0,7.0,11.1,96.0,1011.0,0.0,1.0,2.0
29.0,8.0,11.1,93.0,1011.0,0.0,157.0,0.350318471338
29.0,9.0,11.7,93.0,1011.0,3.1,410.0,0.556097560976
29.0,10.0,14.4,90.0,1012.0,2.1,620.0,0.624193548387
29.0,11.0,15.6,87.0,1011.0,1.0,773.0,0.600258732212
29.0,12.0,17.8,81.0,1011.0,4.1,856.0,0.642523364486
29.0,13.0,17.8,75.0,1010.0,5.2,865.0,0.679768786127
29.0,14.0,17.8,81.0,1010.0,5.2,799.0,0.571964956195
29.0,15.0,17.8,81.0,1009.0,5.2,662.0,0.649546827795
29.0,16.0,17.2,84.0,1009.0,5.2,464.0,0.536637931034
29.0,17.0,16.1,87.0,1009.0,3.6,219.0,0.452054794521
29.0,18.0,14.4,93.0,1010.0,2.1,14.0,0.857142857143
30.0,7.0,8.9,100.0,1015.0,1.5,2.0,1.5
30.0,8.0,8.9,100.0,1015.0,0.0,160.0,0.425
30.0,9.0,12.8,86.0,1016.0,1.0,414.0,0.606280193237
30.0,10.0,15.0,90.0,1016.0,1.5,625.0,0.64
30.0,11.0,17.8,78.0,1016.0,2.6,777.0,0.66537966538
30.0,12.0,18.9,70.0,1016.0,1.5,861.0,0.691056910569
30.0,13.0,19.4,70.0,1015.0,5.7,870.0,0.726436781609
