,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,pressure,summary,temperature,visibility,windBearing,windSpeed,timezone
2016-03-24 08:00:00-07:00,10.38,0.23,6.92,0.79,clear-day,309.79,0.0,0.0,1025.05,Clear,10.38,14.66,330.0,2.57,America/Los_Angeles
2016-03-24 08:01:00-07:00,10.413166666666667,0.2295,6.933666666666666,0.789,,309.78000000000003,0.0,0.0,1025.0511666666666,,10.413166666666667,14.682,330.06666666666666,2.5756666666666663,
2016-03-24 08:02:00-07:00,10.446333333333333,0.229,6.947333333333333,0.788,,309.77000000000004,0.0,0.0,1025.0523333333333,,10.446333333333333,14.704,330.1333333333333,2.5813333333333333,
2016-03-24 08:03:00-07:00,10.479500000000002,0.2285,6.961,0.787,,309.76,0.0,0.0,1025.0535,,10.479500000000002,14.726,330.2,2.5869999999999997,
2016-03-24 08:04:00-07:00,10.512666666666668,0.228,6.974666666666667,0.786,,309.75,0.0,0.0,1025.0546666666667,,10.512666666666668,14.748,330.26666666666665,2.5926666666666667,
2016-03-24 08:05:00-07:00,10.545833333333334,0.2275,6.988333333333333,0.785,,309.74,0.0,0.0,1025.0558333333333,,10.545833333333334,14.77,330.3333333333333,2.598333333333333,
2016-03-24 08:06:00-07:00,10.579,0.227,7.002,0.784,,309.73,0.0,0.0,1025.057,,10.579,14.792,330.4,2.6039999999999996,
2016-03-24 08:07:00-07:00,10.612166666666667,0.2265,7.015666666666666,0.783,,309.72,0.0,0.0,1025.0581666666667,,10.612166666666667,14.814,330.46666666666664,2.6096666666666666,
2016-03-24 08:08:00-07:00,10.645333333333333,0.226,7.029333333333334,0.782,,309.71000000000004,0.0,0.0,1025.0593333333334,,10.645333333333333,14.836,330.53333333333336,2.615333333333333,
2016-03-24 08:09:00-07:00,10.678500000000001,0.2255,7.043,0.781,,309.70000000000005,0.0,0.0,1025.0605,,10.678500000000001,14.858,330.6,2.621,
2016-03-24 08:10:00-07:00,10.711666666666668,0.225,7.056666666666667,0.78,,309.69,0.0,0.0,1025.0616666666665,,10.711666666666668,14.88,330.6666666666667,2.6266666666666665,
2016-03-24 08:11:00-07:00,10.744833333333334,0.2245,7.070333333333333,0.779,,309.68,0.0,0.0,1025.0628333333332,,10.744833333333334,14.902000000000001,330.73333333333335,2.6323333333333334,
2016-03-24 08:12:00-07:00,10.778,0.224,7.084,0.778,,309.67,0.0,0.0,1025.0639999999999,,10.778,14.924,330.8,2.638,
2016-03-24 08:13:00-07:00,10.811166666666667,0.2235,7.097666666666667,0.777,,309.66,0.0,0.0,1025.0651666666665,,10.811166666666667,14.946,330.8666666666667,2.6436666666666664,
2016-03-24 08:14:00-07:00,10.844333333333333,0.223,7.1113333333333335,0.776,,309.65000000000003,0.0,0.0,1025.0663333333332,,10.844333333333333,14.968,330.93333333333334,2.6493333333333333,
2016-03-24 08:15:00-07:00,10.877500000000001,0.2225,7.125,0.775,,309.64,0.0,0.0,1025.0674999999999,,10.877500000000001,14.99,331.0,2.655,
2016-03-24 08:16:00-07:00,10.910666666666668,0.222,7.1386666666666665,0.774,,309.63,0.0,0.0,1025.0686666666666,,10.910666666666668,15.012,331.06666666666666,2.6606666666666667,
2016-03-24 08:17:00-07:00,10.943833333333334,0.2215,7.152333333333333,0.773,,309.62,0.0,0.0,1025.0698333333332,,10.943833333333334,15.034,331.1333333333333,2.666333333333333,
2016-03-24 08:18:00-07:00,10.977,0.221,7.166,0.772,,309.61,0.0,0.0,1025.071,,10.977,15.056000000000001,331.2,2.6719999999999997,
2016-03-24 08:19:00-07:00,11.010166666666667,0.2205,7.179666666666667,0.771,,309.6,0.0,0.0,1025.0721666666666,,11.010166666666667,15.078,331.26666666666665,2.6776666666666666,
2016-03-24 08:20:00-07:00,11.043333333333333,0.22,7.193333333333333,0.77,,309.59000000000003,0.0,0.0,1025.0733333333333,,11.043333333333333,15.1,331.3333333333333,2.683333333333333,
